#OTU ID	A11	A21	A31	A41	A51	B11	B21	B31	B41	B51	C11	C21	C31	C41	C51	D11	D21	D31	D41	D51	E11	E21	E31	E51	F11	F21	F31	F41	F51
ASV_85	142	179	54	7	138	35	157	267	6	109	48	30	5	65	0	58	50	245	58	139	303	1491	353	247	22	81	33	49	43
ASV_86	255	129	837	592	433	13	726	953	281	1522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_87	1133	320	176	57	226	155	106	364	216	458	159	7	22	24	23	20	12	241	41	29	38	105	187	55	87	51	33	23	17
ASV_88	192	912	916	652	790	701	310	829	1283	915	1864	965	1506	1193	1966	834	1002	1205	1573	554	1027	1119	212	663	1412	1697	1685	1758	1415
ASV_89	20	74	184	77	105	142	72	151	811	298	133	146	242	390	417	238	37	93	119	80	38	102	10	34	182	99	58	92	40
ASV_9	788	2237	1092	1068	807	1327	65	697	820	926	2052	5817	2230	2034	1944	2063	4424	2220	1020	2170	1376	998	10473	1985	1744	1634	2371	1342	3321
ASV_90	3	0	0	0	0	0	7607	178	6	18	0	0	0	0	0	0	0	0	10	0	3	6	0	0	0	0	0	0	0
ASV_91	209	1103	8	0	10	0	68	3064	6	29	0	13	5	0	0	0	0	0	7	0	0	0	0	0	15	0	3	0	0
ASV_92	23	0	54	555	2161	0	0	0	15	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929	3	0	50
ASV_93	3	0	0	0	0	4	0	4	3	0	46	7	64	68	38	1047	112	78	106	407	6	171	1791	62	18	11	6	124	0
ASV_94	27	97	134	67	59	102	65	120	102	142	362	219	277	468	582	270	112	214	467	77	172	242	10	133	258	191	289	301	126
ASV_95	335	133	213	2212	82	1318	3134	178	93	2306	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_96	229	148	1146	73	236	386	58	244	222	131	121	106	47	314	295	40	385	148	68	83	294	115	575	197	22	176	44	291	133
ASV_97	27	246	13	3	10	13	0	97	15	4	65	3	1375	48	31	9	15	117	55	38	230	6	86	9	517	4	17	599	7
ASV_98	17	74	71	47	46	106	82	151	71	105	260	106	136	256	432	153	20	128	235	32	113	112	20	46	131	110	192	177	50
ASV_99	33	94	218	110	66	89	41	128	447	225	306	285	406	588	1006	409	119	229	307	212	137	291	40	151	400	253	250	321	153
